date_posted,job_title,company,location,source,posted_at_text,education_requirement,technical_skills,description,link
2026-07-23,Bookkeeper - Part Time,Shoreway Drywall,"Ottawa, ON, Canada",Indeed,18 days ago,Professional Designation / Master’s,"[""Quickbooks"", ""SAGE"", ""TAX"", ""Payroll"", ""Bookkeeping""]","Bookkeeper / Payroll & Office Administrator


Location: On-site (workstation provided) Job Type: Part-Time (10–20 hours/week)


About the Role


We're looking for a reliable, highly organized Bookkeeper to manage our day-to-day bookkeeping, payroll, and light administrative support. This is an on-site, part-time position (10–20 hours/week) — you'll have your own dedicated workstation and be part of the daily operations of the business.


We need someone who owns their work from start to finish: deadlines don't slip, records don't go missing, and small admin tasks don't fall through the cracks.


Key Responsibilities


Bookkeeping:



 Maintain accurate, up-to-date financial records (accounts payable/receivable, bank reconciliations, general ledger entries)
 Process invoices, expenses, and vendor payments
 Prepare monthly, quarterly, and year-end financial reports
 Reconcile accounts and flag discrepancies promptly
 Liaise with our accountant/CPA as needed for tax filings and year-end close

Payroll:



 Process payroll accurately and on schedule (hours, deductions, benefits, remittances)
 Ensure compliance with CRA payroll requirements (T4s, source deductions, etc.)
 Maintain employee payroll records and respond to pay-related questions

Administrative Support:



 General office admin tasks as needed (filing, correspondence, scheduling, data entry, supply ordering, etc.)
 Support day-to-day operational needs of the office

What We're Looking For



 Minimum 4 years of hands-on bookkeeping and payroll experience in a workplace setting
 Strong track record of staying on top of tasks and deadlines without needing reminders or follow-up
 Highly organized, with systems for keeping records, files, and priorities in order
 Comfortable learning and navigating our business software/accounting systems with minimal hand-holding
 Experience with accounting software (e.g., QuickBooks, Sage, Wave, or similar) and payroll platforms
 Strong attention to detail and accuracy with numbers
 Trustworthy with confidential financial and employee information
 Good written and verbal communication skills
 Verifiable references required

What We Offer



 Part-time, on-site position (10–20 hours/week) with a dedicated, fully equipped workstation
 Pay based on years of experience

To Apply


Please submit your resume along with at least 2–3 professional references who can speak to your reliability, organization, and bookkeeping/payroll experience.


Pay: $20.00-$26.00 per hour


Work Location: In person",https://emplois.ca.indeed.com/viewjob?jk=37452eb1fad400d6&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
2026-07-23,Junior Bookkeeper: Launch in Canadian Biz,Flashbooks,"Gatineau, Quebec, Canada",Learn4Good,12 days ago,Professional Designation / Master’s,"[""Excel"", ""Payroll""]","Position: Junior Bookkeeper: Launch Your Career in Canadian Small Biz A Canadian accounting solutions company is seeking an entry-level bookkeeper to join their team. This role involves recording financial transactions, reconciling statements, and assisting in payroll processes. Ideal candidates will have a background in accounting or finance, be proficient in Microsoft Excel, and possess strong organizational skills. The company values attention to detail and offers an opportunity to work with a dynamic team while supporting the growth of small businesses in Canada. #J-18808-Ljbffr",https://www.learn4good.com/jobs/gatineau-quebec/canada/accounting/5278989174/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
